# start,end,distance 
417,477,0.3
477,481,0.3
481,7,1.0
354,325,0.3
354,133,0.4
325,96,0.6
96,97,0.8
97,81,0.3
97,434,0.4
81,445,0.6
445,443,0.3
443,95,0.4
95,306,0.2
306,163,0.6
163,165,0.3
165,136,0.4
165,153,0.2
165,151,0.4
136,91,0.3
91,75,0.4
91,304,0.6
242,226,0.2
305,313,0.5
289,61,0.7
289,83,0.4
61,196,0.2
196,69,0.4
69,371,0.5
69,174,0.3
371,88,0.4
88,86,0.5
86,35,0.8
86,463,0.6
35,410,0.8
410,18,0.5
410,24,0.5
18,268,0.2
18,34,0.4
268,21,0.4
21,395,0.5
395,342,0.5
395,122,0.3
342,51,0.4
51,416,0.4
416,40,0.4
40,5,0.4
5,4,0.3
4,37,0.3
37,63,0.4
63,241,0.9
241,252,0.5
252,378,0.7
252,313,6.49
378,39,1.0
39,90,0.3
90,66,0.3
66,67,0.3
67,447,0.4
447,274,0.4
274,15,0.5
15,126,0.3
126,281,0.5
281,74,0.4
281,12,0.5
74,467,0.4
467,310,0.3
310,303,0.4
310,73,0.4
303,87,0.9
87,18,0.5
34,102,0.6
102,16,0.4
102,174,0.2
16,359,0.2
359,78,0.3
78,32,0.2
78,399,0.3
32,399,0.4
399,408,0.3
399,304,1.1
399,424,0.9
408,312,0.3
408,304,0.8
312,411,0.4
411,115,0.4
8,323,0.5
147,161,0.4
147,158,0.6
161,166,0.4
161,271,0.4
263,461,0.7
263,98,0.6
263,420,2.1
461,43,0.4
461,81,0.5
434,388,0.7
434,98,1.0
388,319,0.5
314,146,0.4
314,158,0.4
146,255,0.5
146,223,0.4
146,450,0.5
200,309,0.5
120,107,0.4
120,454,0.4
336,331,0.4
113,133,0.7
113,283,0.7
133,339,0.4
133,318,0.7
339,340,0.5
93,70,0.4
402,293,0.2
402,404,0.5
293,482,0.4
482,160,0.8
442,403,0.3
403,292,0.3
403,20,0.3
292,93,0.2
292,404,0.4
292,321,0.2
105,108,0.3
108,346,0.4
450,185,0.4
414,218,0.4
218,216,0.4
216,212,0.3
212,222,0.3
212,213,0.3
222,233,0.4
233,234,0.4
234,194,0.2
198,200,0.4
198,220,0.4
309,176,0.4
176,426,0.4
426,145,0.4
426,156,0.4
99,138,0.3
138,91,0.4
160,161,0.3
160,146,0.4
160,345,0.5
220,369,0.3
166,387,0.5
387,257,0.4
387,140,0.3
257,168,0.3
257,104,0.4
257,131,0.4
168,159,0.4
159,348,0.2
159,136,0.5
407,424,0.7
424,301,0.5
424,409,0.3
301,91,0.4
301,137,0.5
440,326,0.6
326,297,0.4
326,300,0.6
297,163,0.7
132,383,0.3
132,131,0.4
383,262,0.4
383,387,0.5
262,349,0.5
262,167,0.4
262,257,0.4
349,314,0.4
349,271,0.5
210,206,0.3
206,201,0.5
201,200,0.2
201,220,0.2
156,155,0.4
155,348,0.4
155,136,0.6
151,146,0.4
2,336,0.4
2,256,0.4
2,65,0.6
331,131,0.5
331,383,0.4
131,130,0.2
131,121,0.3
128,284,0.6
128,82,0.7
284,62,0.3
62,367,0.3
367,208,0.3
367,53,0.4
367,364,0.3
208,320,0.4
320,127,0.5
127,123,0.3
123,106,0.3
106,104,0.3
106,383,0.3
106,168,0.3
104,253,0.4
104,239,0.6
253,374,0.5
374,255,0.4
374,476,3.22
374,275,4.98
158,404,1.8
158,442,0.8
158,255,15.09
404,260,2.7
404,93,0.7
98,291,0.2
98,42,0.3
291,285,0.3
285,72,0.3
72,343,0.4
343,330,0.2
330,46,0.3
330,428,0.3
330,56,0.4
46,386,0.4
386,452,0.6
452,57,0.3
129,19,0.3
129,466,0.4
19,45,0.2
19,296,0.4
45,401,0.3
401,44,0.2
44,461,0.9
44,388,0.6
226,370,0.4
370,441,0.5
370,288,1.1
441,449,0.9
449,485,0.3
485,457,0.3
457,251,0.3
251,250,0.2
250,221,0.6
221,225,0.2
221,206,0.3
221,222,0.2
225,379,0.3
379,214,0.9
340,106,0.4
355,334,0.3
101,173,0.3
173,192,0.5
192,275,0.4
205,367,0.3
53,373,0.8
373,258,0.5
271,50,0.5
50,1,0.5
1,480,0.3
480,6,0.3
6,343,0.4
428,57,1.1
466,438,0.3
438,64,0.4
64,451,0.3
451,164,0.6
164,314,0.4
164,166,0.5
231,328,0.8
328,215,0.3
215,107,1.1
215,204,0.3
144,331,0.5
167,433,0.3
433,422,0.4
422,263,0.4
422,255,2.05
420,170,0.7
170,177,0.3
323,423,0.5
423,360,0.5
360,211,0.5
318,388,1.6
319,459,0.2
459,350,0.4
350,387,0.3
239,255,0.4
213,372,0.4
372,317,0.4
372,26,0.4
317,431,0.5
431,316,0.2
316,13,0.4
13,358,0.4
358,111,0.4
358,182,0.4
111,377,0.3
377,311,0.3
311,341,0.2
341,266,0.5
341,11,0.3
266,281,0.2
73,282,0.3
282,71,0.3
71,410,0.3
24,435,0.4
435,76,0.3
76,307,0.8
307,23,0.9
23,462,0.5
462,77,0.1
77,73,0.4
77,12,0.8
122,125,0.4
125,415,0.2
415,240,0.2
415,110,0.5
240,335,0.3
335,189,0.3
189,191,0.3
191,418,0.5
418,419,0.7
419,228,0.4
228,221,0.4
228,229,0.3
174,186,0.4
186,94,0.2
264,382,0.4
382,368,0.3
368,16,0.4
368,371,0.3
357,308,0.4
308,79,0.4
79,228,0.4
229,230,0.3
230,210,0.4
369,492,0.3
492,366,0.4
366,372,0.4
26,413,0.4
413,187,0.4
12,47,0.8
47,125,0.4
47,392,1.4
280,425,0.5
256,209,0.5
209,215,0.3
204,52,0.3
52,203,0.3
473,363,0.4
327,217,0.3
217,367,0.3
364,337,0.6
337,374,0.5
121,120,0.4
454,107,1.3
430,339,0.4
351,353,0.3
353,199,0.4
199,195,0.4
195,194,0.3
254,175,0.3
175,171,0.3
83,264,0.2
463,54,0.4
54,390,0.4
390,391,0.5
390,313,4.33
391,280,0.7
425,92,0.2
92,472,0.3
472,398,0.3
398,464,0.3
464,84,0.8
84,221,1.2
277,322,0.8
288,286,0.3
286,437,0.3
437,448,0.3
448,484,0.4
484,33,0.4
33,269,0.5
269,267,0.4
267,315,0.4
315,436,0.6
436,18,0.5
94,32,0.2
409,304,0.5
140,158,0.5
20,402,0.1
70,439,0.6
439,470,0.5
470,469,0.3
469,55,0.7
55,57,0.2
296,68,0.3
68,444,0.4
444,44,0.2
42,14,0.4
14,406,0.3
406,72,0.3
56,490,0.5
490,261,0.2
261,28,0.5
28,17,0.7
17,294,0.3
294,295,0.7
295,292,0.5
321,293,0.3
345,262,0.3
134,326,0.5
300,25,0.7
25,270,0.6
270,22,1.2
22,77,0.5
110,60,0.3
60,181,0.4
334,311,0.6
11,47,0.5
392,78,0.6
376,27,0.22
376,313,9.0
